signature	level	label	genes	biological_scope	citation	pmid	doi	url
T_lineage	lineage	T_cell	CD3D;CD3E;CD3G;TRAC;CD2;BCL11B	T/NK discrimination	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
NK_lineage	lineage	NK	GNLY;NKG7;KLRD1;FCGR3A;TYROBP	T/NK discrimination	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
CD8_subtype	subtype	CD8	CD3D;CD8A;CD8B;CCL5;CTSW	Conventional T-cell subtype	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
CD4_conventional_subtype	subtype	Conventional_CD4	CD4;IL7R;LTB;KLRB1;CCR7	Conventional T-cell subtype	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
Treg_subtype	subtype	Treg	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2	Regulatory T-cell subtype	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
cytotoxicity	program	Cytotoxicity	CCL5;NKG7;GZMB;GZMK;PRF1	T-cell state/program	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
activation	program	Activation	CD69;TNFRSF9;IFNG;CCL4;AREG	T-cell state/program	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
naive_memory	program	Naive_memory	CCR7;TCF7;LEF1;MAL;LTB;IL7R;KLRB1;BACH2	T-cell state/program	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
exhaustion_dysfunction	program	Exhaustion_dysfunction	PDCD1;LAG3;HAVCR2;TOX;CXCL13	T-cell state/program	Anadon et al. Cancer Cell. 2022	35427494	10.1016/j.ccell.2022.03.008	https://pubmed.ncbi.nlm.nih.gov/35427494/
interferon_response	program	Interferon_response	ISG15;IFIT1;IFIT3;OASL;MX1	Cross-lineage state/program	Zhang et al. Science Advances. 2022	35196078	10.1126/sciadv.abm1831	https://pubmed.ncbi.nlm.nih.gov/35196078/
stress	program	Stress	JUN;FOS;JUNB;DUSP1;EGR1;HSPA1A;HSPA1B;HSP90AA1;DNAJB1;HSPA6	Immediate-early and heat-shock stress program	Zhang et al. Science Advances. 2022	35196078	10.1126/sciadv.abm1831	https://pubmed.ncbi.nlm.nih.gov/35196078/
